car_name,brand,model,km_driven,seller_type,fuel_type,transmission_type,seats,selling_price,vehicle_age,mileage,seller_d,Transmission_Auto,Fuel_Petrol,Fuel_electric,Fuel_Diesel,Fuel_CNG,Fuel_LPG,engine,max_power,,,
Maruti Alto,Maruti,Alto,120000,Individual,Petrol,Manual,5,120000,9,19.7,0,0,1,0,0,0,0,796,46.3,,,
Hyundai Grand,Hyundai,Grand,20000,Individual,Petrol,Manual,5,550000,5,18.9,0,0,1,0,0,0,0,1197,82,,,
Hyundai i20,Hyundai,i20,60000,Individual,Petrol,Manual,5,215000,11,17,0,0,1,0,0,0,0,1197,80,,Independent Variable,
Maruti Alto,Maruti,Alto,37000,Individual,Petrol,Manual,5,226000,9,20.92,0,0,1,0,0,0,0,998,67.1,,Dependent Variable,
Ford Ecosport,Ford,Ecosport,30000,Dealer,Diesel,Manual,5,570000,6,22.77,1,0,0,0,1,0,0,1498,98.59,,,
Maruti Wagon R,Maruti,Wagon R,35000,Individual,Petrol,Manual,5,350000,8,18.9,0,0,1,0,0,0,0,998,67.1,,,
Hyundai i10,Hyundai,i10,40000,Dealer,Petrol,Manual,5,315000,8,20.36,1,0,1,0,0,0,0,1197,78.9,,,
Maruti Wagon R,Maruti,Wagon R,17512,Dealer,Petrol,Manual,5,410000,3,20.51,1,0,1,0,0,0,0,998,67.04,,seller_d,Dummy Variables
Hyundai Venue,Hyundai,Venue,20000,Individual,Petrol,Automatic,5,1050000,2,18.15,0,1,1,0,0,0,0,998,118.35,,Transmission_Auto,
Maruti Swift,Maruti,Swift,28321,Dealer,Petrol,Manual,5,511000,4,16.6,1,0,1,0,0,0,0,1197,85,,Fuel_Diesel,
Hyundai Verna,Hyundai,Verna,65278,Dealer,Diesel,Manual,5,425000,8,22.32,1,0,0,0,1,0,0,1582,126.32,,Fuel_CNG,
Renault Duster,Renault,Duster,50000,Individual,Diesel,Manual,5,750000,5,19.64,0,0,0,0,1,0,0,1461,108.45,,Fuel_LPG,
Mini Cooper,Mini,Cooper,6000,Dealer,Petrol,Automatic,5,3250000,4,14.41,1,1,1,0,0,0,0,1998,189.08,,Fuel_Petrol,
Maruti Ciaz,Maruti,Ciaz,76000,Dealer,Diesel,Manual,5,650000,5,28.09,1,0,0,0,1,0,0,1248,88.5,,Fuel_Electric,
Maruti Swift,Maruti,Swift,20000,Individual,Diesel,Manual,5,627000,5,25.2,0,0,0,0,1,0,0,1248,74,,,
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,65000,Dealer,Diesel,Automatic,5,1425000,7,19.27,1,1,0,0,1,0,0,2143,170,,,
Maruti Swift,Maruti,Swift,62200,Dealer,Diesel,Manual,5,425000,7,28.4,1,0,0,0,1,0,0,1248,74,,,
Toyota Innova,Toyota,Innova,110000,Individual,Diesel,Manual,8,605000,8,12.99,0,0,0,0,1,0,0,2494,100.6,,,
Maruti Baleno,Maruti,Baleno,20000,Individual,Petrol,Manual,5,600000,6,21.4,0,0,1,0,0,0,0,1197,83.1,,,
Maruti Swift Dzire,Maruti,Swift Dzire,40000,Individual,Petrol,Manual,5,575000,5,20.85,0,0,1,0,0,0,0,1197,83.14,,,
Volkswagen Vento,Volkswagen,Vento,47000,Dealer,Petrol,Manual,5,425000,8,16.09,1,0,1,0,0,0,0,1598,103.2,,,
Maruti Alto,Maruti,Alto,25000,Dealer,Petrol,Manual,5,230000,8,20.92,1,0,1,0,0,0,0,998,67.1,,,
Hyundai Creta,Hyundai,Creta,15000,Individual,Diesel,Manual,5,1225000,2,19.67,0,0,0,0,1,0,0,1582,126.2,,,
Honda City,Honda,City,50000,Individual,Petrol,Manual,5,750000,6,17.4,0,0,1,0,0,0,0,1497,117.3,,,
Mahindra Bolero,Mahindra,Bolero,25000,Individual,Diesel,Manual,7,350000,10,13.6,0,0,0,0,1,0,0,2523,63,,,
Maruti Swift Dzire,Maruti,Swift Dzire,90000,Individual,Diesel,Manual,5,600000,6,26.59,0,0,0,0,1,0,0,1248,74,,,
Maruti Swift Dzire,Maruti,Swift Dzire,45000,Dealer,Diesel,Manual,5,390000,8,26.59,1,0,0,0,1,0,0,1248,74,,,
Honda City,Honda,City,77253,Dealer,Petrol,Manual,5,145000,14,17.7,1,0,1,0,0,0,0,1497,78,,,
Hyundai i20,Hyundai,i20,25000,Individual,Petrol,Manual,5,700000,3,17.19,0,0,1,0,0,0,0,1197,81.86,,,
Toyota Fortuner,Toyota,Fortuner,110000,Individual,Diesel,Manual,7,1150000,8,13,0,0,0,0,1,0,0,2982,168.5,,,
Renault KWID,Renault,KWID,30000,Individual,Petrol,Manual,5,340000,4,23.01,0,0,1,0,0,0,0,999,67,,,
Honda Amaze,Honda,Amaze,39993,Dealer,Petrol,Manual,5,465000,5,18.6,1,0,1,0,0,0,0,1199,88.76,,,
Hyundai Santro,Hyundai,Santro,80000,Individual,Petrol,Manual,5,125000,12,17.92,0,0,1,0,0,0,0,1086,62.1,,,
Mahindra XUV500,Mahindra,XUV500,185000,Individual,Diesel,Manual,7,600000,9,15.1,0,0,0,0,1,0,0,2179,140,,,
Maruti Swift Dzire,Maruti,Swift Dzire,90000,Individual,Diesel,Manual,5,380000,8,23.4,0,0,0,0,1,0,0,1248,74,,,
